id,color,root,sound,texture,belly,touch,isGood
1,гЮбл,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,1
2,нз╨з,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,1
3,нз╨з,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,1
6,гЮбл,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМуЁ,1
7,нз╨з,итРИ,вгоЛ,ит╨Щ,ит╟╪,хМуЁ,1
10,гЮбл,с╡м╕,гЕ╢Ю,гЕнЗ,ф╫л╧,хМуЁ,0
14,гЁ╟в,итРИ,Ёацф,ит╨Щ,╟╪ощ,с╡╩╛,0
15,нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМуЁ,0
16,гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,с╡╩╛,0
17,гЮбл,РИкУ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,0
4,гЮбл,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,1
5,гЁ╟в,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,1
8,нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,с╡╩╛,1
9,нз╨з,итРИ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,0
11,гЁ╟в,с╡м╕,гЕ╢Ю,дё╨Щ,ф╫л╧,с╡╩╛,0
12,гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,хМуЁ,0
13,гЮбл,итРИ,вгоЛ,ит╨Щ,╟╪ощ,с╡╩╛,0
